PAGE_NO,TOTAL_ANNOTATION,DEVICE_NAME,CREATED_DATE,PROCESS_STAGE,BROWSER_VERSION,BROWSER_NAME,CATEGORY_ERROR,YEAR,TIME_BIN,IS_WEEKEND,MONTH
1,4,Desktop,2025-02-06 11:58:00,Doc Editor : Passing Parameter,135.0.0.0,Firefox,PassingParam,2025,Morning,False,2
1,3,Desktop,2025-01-06 11:40:00,Doc Editor : Passing Parameter,115.0.0.0,Firefox,PassingParam,2025,Morning,False,1
1,2,Desktop,2025-03-25 12:06:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityCommandExecutionException: An error occurred while executing the command definition. See the inner exception for details. ---> S,134.0.0.0,Chrome,Other,2025,Afternoon,False,3
2,2,Desktop,2025-03-24 11:06:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Infrastructure.DbUpdateException: An error occurred while updating the entries. See the inner exception for details. ---> System.Data.Entit,134.0.0.0,Chrome,DocEditor_DbUpdateErrEntries,2025,Morning,False,3
1,2,Mobile,2024-11-06 10:34:00,Doc Editor : Passing Parameter,130.0.0.0,Chrome,PassingParam,2024,Morning,False,11
1,2,Desktop,2025-03-26 10:00:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,134.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Morning,False,3
4,2,Desktop,2024-03-13 15:17:00,Passing Parameter,122.0.0.0,Chrome,PassingParam,2024,Afternoon,False,3
1,3,Desktop,2024-12-26 09:51:00,Doc Editor : Passing Parameter,131.0.0.0,Chrome,PassingParam,2024,Morning,False,12
1,3,Desktop,2024-12-26 09:53:00,Doc Editor : Passing Parameter,133.0.0.0,Firefox,PassingParam,2024,Morning,False,12
1,5,Desktop,2025-03-05 12:21:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityCommandExecutionException: An error occurred while executing the command definition. See the inner exception for details. ---> S,133.0.0.0,Chrome,Other,2025,Afternoon,False,3
2,13,Desktop,2025-03-12 11:37:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,3
2,2,Desktop,2024-11-07 10:04:00,Doc Editor : Passing Parameter,118.0.0.0,Firefox,PassingParam,2024,Morning,False,11
1,6,Desktop,2024-11-08 15:23:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,130.0.0.0,Chrome,DocEditor_ReceiveError,2024,Afternoon,False,11
1,13,Desktop,2024-11-11 09:22:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,109.0.0.0,Chrome,DocEditor_ReceiveError,2024,Morning,False,11
2,3,Mobile,2025-01-21 09:40:00,Doc Editor : Passing Parameter,132.0.0.0,Chrome,PassingParam,2025,Morning,False,1
2,3,Mobile,2024-10-18 09:45:00,Doc Editor : Passing Parameter,129.0.0.0,Chrome,PassingParam,2024,Morning,False,10
2,4,Desktop,2025-03-25 09:30:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Infrastructure.CommitFailedException: An error was reported while committing a database transaction but it could not be determined whether ,134.0.0.0,Chrome,DocEditor_CommitErrDatabaseTransaction,2025,Morning,False,3
2,18,Desktop,2025-03-24 11:06:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Infrastructure.DbUpdateException: An error occurred while updating the entries. See the inner exception for details. ---> System.Data.Entit,134.0.0.0,Chrome,DocEditor_DbUpdateErrEntries,2025,Morning,False,3
