PC1,PC2,PC3,PC4,PC5,PC6
-1.427751547538732,0.06872207725029997,-0.10011199749838355,0.0208939061617021,0.03491078325118615,-0.04687805259817941
-1.427751547538732,0.06872207725029997,-0.10011199749838355,0.0208939061617021,0.03491078325118615,-0.04687805259817941
-1.460558139172848,0.015211672278780626,-0.08537816398419484,0.09491344852383454,0.013685472881593353,-0.04390918433271723
-1.3119245211932598,-0.46109635212982364,-0.056736437341080886,0.07292923350812683,0.022925928074973692,-0.057392411170779416
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.2955212253762018,-0.43434114964406406,-0.06410335409817525,0.03591946232706063,0.033538583259770084,-0.058876845303510505
-1.2955212253762018,-0.43434114964406406,-0.06410335409817525,0.03591946232706063,0.033538583259770084,-0.058876845303510505
-1.2955212253762018,-0.43434114964406406,-0.06410335409817525,0.03591946232706063,0.033538583259770084,-0.058876845303510505
-1.3330092144085308,-0.6809615986137252,-0.33383809226991296,-0.07067314255113187,0.21256424505979696,0.21438370679035834
-1.2151348803994053,-0.42313469430051065,-0.10516912112708392,-0.014600899536826922,0.03062324680306299,-0.07614997836198995
-1.2151348803994053,-0.42313469430051065,-0.10516912112708392,-0.014600899536826922,0.03062324680306299,-0.07614997836198995
-1.2955212253762018,-0.43434114964406406,-0.06410335409817525,0.03591946232706063,0.033538583259770084,-0.058876845303510505
-1.4150256934938206,-0.8147376110425233,-0.29700350848444124,0.11437571335419916,0.15950096913581494,0.22180587745401378
-1.5907805500832453,-0.9159347943877377,0.06850114752952303,0.7020953435862528,-0.15748921006656527,-0.032157030914350904
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.2955212253762018,-0.43434114964406406,-0.06410335409817525,0.03591946232706063,0.033538583259770084,-0.058876845303510505
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.2690261652487922,-0.6965103457559314,-0.36753694254172725,-0.0841837332339532,0.19903625341829348,0.19859500786460998
-1.0871687820799285,-0.45423218858492315,-0.1725668216707125,-0.04162208090246964,0.003567263520055976,-0.10772737621348667
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.3611344086444337,-0.5413619595871025,-0.03463568706979786,0.18395854705132542,-0.008912037479415533,-0.052939108772586146
-1.4580789390163562,-0.7056326378697825,-0.32759565056866674,0.11874347854293271,-0.24997810228263254,-0.1213582384463578
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.0871687820799285,-0.45423218858492315,-0.1725668216707125,-0.04162208090246964,0.003567263520055976,-0.10772737621348667
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.279117929559144,-0.40758594715830443,-0.0714702708552696,-0.0010903088540055927,0.04415123844456649,-0.06036127943624159
-1.0871687820799285,-0.45423218858492315,-0.1725668216707125,-0.04162208090246964,0.003567263520055976,-0.10772737621348667
-1.2151348803994053,-0.42313469430051065,-0.10516912112708392,-0.014600899536826922,0.03062324680306299,-0.07614997836198995
-1.370803508989175,-0.42445370826625295,-0.041255508406766485,-0.01440511060923536,0.037091351266306215,-0.0626720102617841
-1.370803508989175,-0.42445370826625295,-0.041255508406766485,-0.01440511060923536,0.037091351266306215,-0.0626720102617841
-1.370803508989175,-0.42445370826625295,-0.041255508406766485,-0.01440511060923536,0.037091351266306215,-0.0626720102617841
-1.370803508989175,-0.42445370826625295,-0.041255508406766485,-0.01440511060923536,0.037091351266306215,-0.0626720102617841
-1.424694793838562,-0.6978293597216737,-0.3036233298214098,-0.08398794430636164,0.2055043578815367,0.21207297596481584
-1.424694793838562,-0.6978293597216737,-0.3036233298214098,-0.08398794430636164,0.2055043578815367,0.21207297596481584
-1.370803508989175,-0.42445370826625295,-0.041255508406766485,-0.01440511060923536,0.037091351266306215,-0.0626720102617841
